Source File,CSV Name,Matched DB Name,Similarity Score
formatted_universities2.csv,"Karelia University of Applied Sciences, Joensuu",Macromedia University of Applied Sciences,81.81818181818181
formatted_universities2.csv,"Arcada University of Applied Sciences, Helsinki",Frankfurt University of Applied Sciences,80.45977011494253
formatted_universities2.csv,"NEOMA Business School, Rouen",NEOMA Business School,85.71428571428572
formatted_universities2.csv,"ESCE International Business School, Paris",CBS International Business School,83.78378378378379
formatted_universities2.csv,"ESSCA School of Management, Angers",ESSCA School of Management,86.66666666666667
formatted_universities2.csv,"SKEMA Business School, Paris",SKEMA Business School,85.71428571428572
formatted_universities2.csv,"Burgundy School of Business, Dijon",Burgundy School of Business,88.52459016393442
formatted_universities2.csv,"EPITA - School of Engineering and Computer Science, Paris",EPITA - School of Engineering and Computer Science,93.45794392523365
formatted_universities2.csv,"Berlin School of Business and Innovation, Paris",Berlin School of Business and Innovation (BSBI),85.1063829787234
formatted_universities2.csv,"Constructor University, Bremen",Constructor University,84.61538461538461
formatted_universities2.csv,"International School of Management, Dortmund",ISM - International School of Management,83.33333333333334
formatted_universities2.csv,"CBS International Business School, Cologne",CBS International Business School,88.0
formatted_universities2.csv,"Arden University, Berlin",Arden University Berlin,97.87234042553192
formatted_universities2.csv,"New European College, Munich",New European College,83.33333333333334
formatted_universities2.csv,"EU Business School, Munich",Munich Business School,91.66666666666666
formatted_universities2.csv,"Munich Business School, Munich",Munich Business School,84.61538461538461
formatted_universities2.csv,"Berlin School of Business and Innovation, Berlin",Berlin School of Business and Innovation (BSBI),88.42105263157895
formatted_universities2.csv,"Fresenius University of Applied Sciences, Idstein",Frankfurt University of Applied Sciences,80.89887640449437
formatted_universities2.csv,"University of Europe for Applied Sciences, Hamburg",Hamburg University of Applied Sciences,86.36363636363636
formatted_universities2.csv,"Hochschule Macromedia University of Applied Sciences, Munich",Macromedia University of Applied Sciences,81.1881188118812
formatted_universities2.csv,"EU Business School, Barcelona",Aspire Business School Barcelona,81.9672131147541
formatted_universities2.csv,"C3S Business School, Barcelona",Aspire Business School Barcelona,80.64516129032258
formatted_universities2.csv,"Trinity College Dublin, Dublin",Trinity College Dublin,84.61538461538461
formatted_universities2.csv,"University College Cork, Cork",University College Cork,88.46153846153845
formatted_universities2.csv,"Dublin City University, Dublin",Dublin City University,84.61538461538461
formatted_universities2.csv,"National College of Ireland, Dublin",National College of Ireland,87.09677419354838
formatted_universities2.csv,"Dublin Business School, Dublin",Dublin Business School,84.61538461538461
formatted_universities2.csv,"IBAT College Dublin, Dublin",IBAT College Dublin,82.6086956521739
formatted_universities2.csv,"CCT College Dublin, Dublin",CCT College Dublin,81.81818181818181
formatted_universities2.csv,"University of Wollongong, Dubai Campus",University of Wollongong Dubai,88.23529411764706
formatted_universities2.csv,"Ajman University, Ajman",Ajman University,82.05128205128204
formatted_universities2.csv,"Middlesex University, Dubai Campus",Middlesex University (Dubai),83.87096774193549
formatted_universities2.csv,"Hult International Business School, Dubai Campus",Hult International Business School,82.92682926829268
formatted_universities2.csv,"S P Jain School of Global Management, Dubai Campus",SP Jain School of Global Management Dubai,87.91208791208791
formatted_universities2.csv,"Institute of Management Technology (IMT), Dubai",European Institute of Management and Technology (EIMT),85.14851485148515
formatted_universities2.csv,"University of Wollongong, Malaysia",University of Wollongong Dubai,84.375
