ID,Name
404,Texas Wesleyan University
405,The Australian College of Applied Professions
409,Selkirk College
411,The University of Findlay
412,Seneca College
414,The University of Newcastle (Australia)
416,Seton Hall University
417,The University of Scranton
418,Sheridan College Davis
420,The University of Texas at Arlington
421,Slippery Rock University
422,The University of Texas at Austin
423,South Dakota State University
424,The University of Tulsa
427,Southeast Missouri State University
428,Thomas Jefferson University
429,Thompson Rivers University
431,Southern Alberta Institute of Technology
432,Southern Cross University
433,Torrens University
434,Trent University
435,Southern Illinois University Edwardsville
436,Southern Methodist University
437,Southern New Hampshire University
438,Trier University
439,SP Jain School of Global Management Dubai
441,SRH - Hochschulen Heidelberg
443,Trinity Western University Langley
444,SRH - International College
445,Troy University
446,St. Lawrence College
448,St. Thomas University
449,Tufts University
451,State University of New York
452,Tulane University
453,Steinbeis University
459,Stevens Institute of Technology
460,Universität Leipzig
454,UCAM Catholic University of Murcia
455,Stenberg College
456,Ulm University
457,Umea University
458,Universita Di Padova
475,University of Antwerp
462,Stockholm University
10,Algoma University
464,Stony Brook University
465,University of Alabama at Birmingham
466,Suffolk University Usa
476,Upper Iowa University
467,University of Alaska - Fairbanks
468,Sumy State University
469,University of Albany
470,SUNY New Paltz
472,Swinburne University of Technology
474,Uppsala University
477,University of Arizona
478,University of Arkansas
479,University of Zurich
480,University of Barcelona
481,University of Bari Aldo Moro
482,University of Wyoming
483,University of Basel
484,University of Bayreuth
485,University of Wurzburg
486,University of Bern
487,University of Bologna
488,University of Wroclaw
489,University of Bonn
490,University of Wollongong Dubai
13,Berlin School of Business and Innovation (BSBI)
224,INTO - The University of Western Australia
